item,state,date,price
apple fuji,malaysia,7/1/2022,1.94
apple fuji,malaysia,8/1/2022,1.96
apple fuji,malaysia,9/1/2022,1.98
pineapple,malaysia,1/1/2022,3.26
pineapple,malaysia,2/1/2022,3.34
pineapple,malaysia,3/1/2022,3.55
pineapple,malaysia,4/1/2022,3.48
pineapple,malaysia,5/1/2022,3.49
pineapple,malaysia,6/1/2022,3.53
pineapple,malaysia,7/1/2022,3.68
pineapple,malaysia,8/1/2022,3.54
pineapple,malaysia,9/1/2022,3.65
watermelon,malaysia,1/1/2022,3.57
watermelon,malaysia,2/1/2022,3.46
watermelon,malaysia,3/1/2022,3.16
watermelon,malaysia,4/1/2022,3.31
watermelon,malaysia,5/1/2022,3.71
watermelon,malaysia,6/1/2022,3.87
watermelon,malaysia,7/1/2022,3.64
watermelon,malaysia,8/1/2022,3.73
watermelon,malaysia,9/1/2022,3.82
apple fuji,johor,1/1/2022,1.82
apple fuji,johor,2/1/2022,1.82
apple fuji,johor,3/1/2022,1.83
apple fuji,johor,4/1/2022,1.82
apple fuji,johor,5/1/2022,1.85
apple fuji,johor,6/1/2022,1.92
apple fuji,johor,7/1/2022,1.94
apple fuji,johor,8/1/2022,1.96
apple fuji,johor,9/1/2022,1.98
pineapple,johor,1/1/2022,3.26
pineapple,johor,2/1/2022,3.34
pineapple,johor,3/1/2022,3.55
pineapple,johor,4/1/2022,3.48
pineapple,johor,5/1/2022,3.49
pineapple,johor,6/1/2022,3.53
pineapple,johor,7/1/2022,3.68
pineapple,johor,8/1/2022,3.54
pineapple,johor,9/1/2022,3.65
watermelon,johor,1/1/2022,3.57
watermelon,johor,2/1/2022,3.46
watermelon,johor,3/1/2022,3.16
watermelon,johor,4/1/2022,3.31
watermelon,johor,5/1/2022,3.71
watermelon,johor,6/1/2022,3.87
watermelon,johor,7/1/2022,3.64
watermelon,johor,8/1/2022,3.73
watermelon,johor,9/1/2022,3.82
chicken,malaysia,1/1/2022,9.48
chicken,malaysia,2/1/2022,9.46
chicken,malaysia,3/1/2022,9.47
chicken,malaysia,4/1/2022,9.5
chicken,malaysia,5/1/2022,9.7
chicken,malaysia,6/1/2022,10.02
chicken,malaysia,7/1/2022,9.94
chicken,malaysia,8/1/2022,9.65
chicken,malaysia,9/1/2022,9.86
beef,malaysia,1/1/2022,35.56
beef,malaysia,2/1/2022,35.76
beef,malaysia,3/1/2022,35.93
beef,malaysia,4/1/2022,36.26
beef,malaysia,5/1/2022,37
beef,malaysia,6/1/2022,37.13
beef,malaysia,7/1/2022,37.36
beef,malaysia,8/1/2022,37.64
beef,malaysia,9/1/2022,37.66
siakap fish,malaysia,1/1/2022,19.38
siakap fish,malaysia,2/1/2022,20.02
siakap fish,malaysia,3/1/2022,20.33
siakap fish,malaysia,4/1/2022,20.67
siakap fish,malaysia,5/1/2022,21.25
siakap fish,malaysia,6/1/2022,21.93
siakap fish,malaysia,7/1/2022,21.88
siakap fish,malaysia,8/1/2022,21.31
siakap fish,malaysia,9/1/2022,20.98
chicken,johor,1/1/2022,9.01
chicken,johor,2/1/2022,8.94
chicken,johor,3/1/2022,8.97
chicken,johor,4/1/2022,8.99
chicken,johor,5/1/2022,9.24
chicken,johor,6/1/2022,9.66
chicken,johor,7/1/2022,9.35
chicken,johor,8/1/2022,8.78
chicken,johor,9/1/2022,9.16
beef,johor,1/1/2022,35.47
beef,johor,2/1/2022,35.87
beef,johor,3/1/2022,36.09
beef,johor,4/1/2022,36.06
beef,johor,5/1/2022,37.38
beef,johor,6/1/2022,38.4
beef,johor,7/1/2022,39.33
beef,johor,8/1/2022,39.33
beef,johor,9/1/2022,39.4
siakap fish,johor,1/1/2022,18.62
siakap fish,johor,2/1/2022,19.21
siakap fish,johor,3/1/2022,19.71
siakap fish,johor,4/1/2022,20.37
siakap fish,johor,5/1/2022,20.86
siakap fish,johor,6/1/2022,22.17
siakap fish,johor,7/1/2022,22.08
siakap fish,johor,8/1/2022,21.08
siakap fish,johor,9/1/2022,20.47
spinach,selangor,1/1/2022,6.48
spinach,selangor,2/1/2022,5.08
spinach,selangor,3/1/2022,5.54
spinach,selangor,4/1/2022,4.56
spinach,selangor,5/1/2022,5.28
spinach,selangor,6/1/2022,5.28
spinach,selangor,7/1/2022,5.06
spinach,selangor,8/1/2022,5.1
spinach,selangor,9/1/2022,4.84
ladies fingers,selangor,1/1/2022,9.71
ladies fingers,selangor,2/1/2022,9.71
ladies fingers,selangor,3/1/2022,9.11
ladies fingers,selangor,4/1/2022,9.73
ladies fingers,selangor,5/1/2022,10.1
ladies fingers,selangor,6/1/2022,9.26
ladies fingers,selangor,7/1/2022,8.26
ladies fingers,selangor,8/1/2022,8.35
ladies fingers,selangor,9/1/2022,8.41
tomatoes,selangor,1/1/2022,5.47
tomatoes,selangor,2/1/2022,5.83
tomatoes,selangor,3/1/2022,4.64
tomatoes,selangor,4/1/2022,4.98
tomatoes,selangor,5/1/2022,4.96
tomatoes,selangor,6/1/2022,5.95
tomatoes,selangor,7/1/2022,5.35
tomatoes,selangor,8/1/2022,6.08
tomatoes,selangor,9/1/2022,5.25
apple fuji,selangor,1/1/2022,2.06
apple fuji,selangor,2/1/2022,2.17
apple fuji,selangor,3/1/2022,2.19
apple fuji,selangor,4/1/2022,2.19
apple fuji,selangor,5/1/2022,2.1
apple fuji,selangor,6/1/2022,2.14
apple fuji,selangor,7/1/2022,2.21
apple fuji,selangor,8/1/2022,2.24
apple fuji,selangor,9/1/2022,2.27
pineapple,selangor,1/1/2022,4.1
pineapple,selangor,2/1/2022,4.09
pineapple,selangor,3/1/2022,4.05
pineapple,selangor,4/1/2022,4.02
pineapple,selangor,5/1/2022,4.1
pineapple,selangor,6/1/2022,4.38
pineapple,selangor,7/1/2022,4.31
pineapple,selangor,8/1/2022,4.44
pineapple,selangor,9/1/2022,4.59
watermelon,selangor,1/1/2022,3.91
watermelon,selangor,2/1/2022,3.5
watermelon,selangor,3/1/2022,3.29
watermelon,selangor,4/1/2022,3.91
watermelon,selangor,5/1/2022,4.06
watermelon,selangor,6/1/2022,3.97
watermelon,selangor,7/1/2022,3.95
watermelon,selangor,8/1/2022,3.93
watermelon,selangor,9/1/2022,4.01
chicken,selangor,1/1/2022,9.17
chicken,selangor,2/1/2022,8.95
chicken,selangor,3/1/2022,8.94
chicken,selangor,4/1/2022,8.96
chicken,selangor,5/1/2022,9.27
chicken,selangor,6/1/2022,9.55
chicken,selangor,7/1/2022,9.5
chicken,selangor,8/1/2022,9.08
chicken,selangor,9/1/2022,9.36
beef,selangor,1/1/2022,37.16
beef,selangor,2/1/2022,37.45
beef,selangor,3/1/2022,37.66
beef,selangor,4/1/2022,38.13
beef,selangor,5/1/2022,38.29
beef,selangor,6/1/2022,38.16
beef,selangor,7/1/2022,38.36
beef,selangor,8/1/2022,38.99
beef,selangor,9/1/2022,38.82
siakap fish,selangor,1/1/2022,20.17
siakap fish,selangor,2/1/2022,20.89
siakap fish,selangor,3/1/2022,20.43
siakap fish,selangor,4/1/2022,20.74
siakap fish,selangor,5/1/2022,21.57
siakap fish,selangor,6/1/2022,21.64
siakap fish,selangor,7/1/2022,22.19
siakap fish,selangor,8/1/2022,21.51
siakap fish,selangor,9/1/2022,21.29
spinach,sabah,1/1/2022,4.6
spinach,sabah,2/1/2022,4.79
spinach,sabah,3/1/2022,4.61
spinach,sabah,4/1/2022,4.78
spinach,sabah,5/1/2022,4.8
spinach,sabah,6/1/2022,5.01
spinach,sabah,7/1/2022,5.12
spinach,sabah,8/1/2022,5.09
spinach,sabah,9/1/2022,5.13
ladies fingers,sabah,1/1/2022,6.64
ladies fingers,sabah,2/1/2022,6.44
ladies fingers,sabah,3/1/2022,6.38
ladies fingers,sabah,4/1/2022,6.92
ladies fingers,sabah,5/1/2022,7.21
ladies fingers,sabah,6/1/2022,7.71
ladies fingers,sabah,7/1/2022,7.81
ladies fingers,sabah,8/1/2022,7.45
ladies fingers,sabah,9/1/2022,7.4
tomatoes,sabah,1/1/2022,7.17
tomatoes,sabah,2/1/2022,7.39
tomatoes,sabah,3/1/2022,7.23
tomatoes,sabah,4/1/2022,6.79
tomatoes,sabah,5/1/2022,7.32
tomatoes,sabah,6/1/2022,7.54
tomatoes,sabah,7/1/2022,7.57
tomatoes,sabah,8/1/2022,7.55
tomatoes,sabah,9/1/2022,7.36
apple fuji,sabah,1/1/2022,1.31
apple fuji,sabah,2/1/2022,1.37
apple fuji,sabah,3/1/2022,1.38
apple fuji,sabah,4/1/2022,1.39
apple fuji,sabah,5/1/2022,1.45
apple fuji,sabah,6/1/2022,1.5
apple fuji,sabah,7/1/2022,1.5
apple fuji,sabah,8/1/2022,1.41
apple fuji,sabah,9/1/2022,1.44
pineapple,sabah,1/1/2022,5
pineapple,sabah,2/1/2022,5.33
pineapple,sabah,3/1/2022,5.42
pineapple,sabah,4/1/2022,5.4
pineapple,sabah,5/1/2022,5.27
pineapple,sabah,6/1/2022,5.1
pineapple,sabah,7/1/2022,4.79
pineapple,sabah,8/1/2022,4.97
pineapple,sabah,9/1/2022,5.45
chicken,sabah,1/1/2022,10.85
chicken,sabah,2/1/2022,11.2
chicken,sabah,3/1/2022,11.34
chicken,sabah,4/1/2022,11.29
chicken,sabah,5/1/2022,11.32
chicken,sabah,6/1/2022,11.44
chicken,sabah,7/1/2022,12
chicken,sabah,8/1/2022,12.08
chicken,sabah,9/1/2022,12.09
beef,sabah,1/1/2022,27.57
beef,sabah,2/1/2022,28.05
beef,sabah,3/1/2022,27.57
beef,sabah,4/1/2022,30.13
beef,sabah,5/1/2022,30.06
beef,sabah,6/1/2022,29.27
beef,sabah,7/1/2022,29.67
beef,sabah,8/1/2022,30.46
beef,sabah,9/1/2022,28.8
siakap fish,sabah,1/1/2022,19.5
siakap fish,sabah,2/1/2022,18.71
siakap fish,sabah,3/1/2022,19.75
siakap fish,sabah,4/1/2022,19.8
siakap fish,sabah,5/1/2022,20.56
siakap fish,sabah,6/1/2022,19.75
siakap fish,sabah,7/1/2022,19.34
siakap fish,sabah,8/1/2022,20.76
siakap fish,sabah,9/1/2022,23.37
spinach,perak,1/1/2022,5.01
spinach,perak,2/1/2022,4.78
spinach,perak,3/1/2022,5.27
spinach,perak,4/1/2022,4.85
spinach,perak,5/1/2022,4.72
spinach,perak,6/1/2022,5.15
spinach,perak,7/1/2022,4.81
spinach,perak,8/1/2022,4.99
spinach,perak,9/1/2022,4.93
ladies fingers,perak,1/1/2022,8.94
ladies fingers,perak,2/1/2022,9.24
ladies fingers,perak,3/1/2022,9.39
ladies fingers,perak,4/1/2022,9.3
ladies fingers,perak,5/1/2022,9.83
ladies fingers,perak,6/1/2022,9.81
ladies fingers,perak,7/1/2022,8.24
ladies fingers,perak,8/1/2022,8.15
ladies fingers,perak,9/1/2022,8.48
tomatoes,perak,1/1/2022,5.47
tomatoes,perak,2/1/2022,6.02
tomatoes,perak,3/1/2022,5.21
tomatoes,perak,4/1/2022,5.22
tomatoes,perak,5/1/2022,5.25
tomatoes,perak,6/1/2022,5.84
tomatoes,perak,7/1/2022,5.47
tomatoes,perak,8/1/2022,6.28
tomatoes,perak,9/1/2022,5.47
apple fuji,perak,1/1/2022,2.12
apple fuji,perak,2/1/2022,2.14
apple fuji,perak,3/1/2022,2.12
apple fuji,perak,4/1/2022,2.18
apple fuji,perak,5/1/2022,2.19
apple fuji,perak,6/1/2022,2.2
apple fuji,perak,7/1/2022,2.24
apple fuji,perak,8/1/2022,2.36
apple fuji,perak,9/1/2022,2.38
pineapple,perak,1/1/2022,3.53
pineapple,perak,2/1/2022,3.6
pineapple,perak,3/1/2022,3.56
pineapple,perak,4/1/2022,3.61
pineapple,perak,5/1/2022,3.74
pineapple,perak,6/1/2022,3.86
pineapple,perak,7/1/2022,3.91
pineapple,perak,8/1/2022,4.13
pineapple,perak,9/1/2022,4.18
watermelon,perak,1/1/2022,3.42
watermelon,perak,2/1/2022,3.13
watermelon,perak,3/1/2022,2.84
watermelon,perak,4/1/2022,3.3
watermelon,perak,5/1/2022,3.59
watermelon,perak,6/1/2022,3.53
watermelon,perak,7/1/2022,3.54
watermelon,perak,8/1/2022,3.49
watermelon,perak,9/1/2022,3.6
chicken,perak,1/1/2022,9.04
chicken,perak,2/1/2022,8.91
chicken,perak,3/1/2022,8.92
chicken,perak,4/1/2022,9.04
chicken,perak,5/1/2022,9.16
chicken,perak,6/1/2022,9.51
chicken,perak,7/1/2022,9.24
chicken,perak,8/1/2022,9.04
chicken,perak,9/1/2022,9.17
beef,perak,1/1/2022,34
beef,perak,2/1/2022,34.04
beef,perak,3/1/2022,34.18
beef,perak,4/1/2022,34.79
beef,perak,5/1/2022,35.68
beef,perak,6/1/2022,36.19
beef,perak,7/1/2022,36.44
beef,perak,8/1/2022,36.79
beef,perak,9/1/2022,36.83
siakap fish,perak,1/1/2022,17.77
siakap fish,perak,2/1/2022,18.58
siakap fish,perak,3/1/2022,18.97
siakap fish,perak,4/1/2022,19.27
siakap fish,perak,5/1/2022,19.63
siakap fish,perak,6/1/2022,20.02
siakap fish,perak,7/1/2022,20.21
siakap fish,perak,8/1/2022,20.2
siakap fish,perak,9/1/2022,19.92
spinach,sarawak,1/1/2022,6.55
spinach,sarawak,2/1/2022,7.12
spinach,sarawak,3/1/2022,6.96
spinach,sarawak,4/1/2022,7.02
spinach,sarawak,5/1/2022,6.93
spinach,sarawak,6/1/2022,6.99
spinach,sarawak,7/1/2022,6.94
spinach,sarawak,8/1/2022,7.01
spinach,sarawak,9/1/2022,6.95
ladies fingers,sarawak,1/1/2022,8.12
ladies fingers,sarawak,2/1/2022,9.03
ladies fingers,sarawak,3/1/2022,9.48
ladies fingers,sarawak,4/1/2022,9.47
ladies fingers,sarawak,5/1/2022,9.02
ladies fingers,sarawak,6/1/2022,8.99
ladies fingers,sarawak,7/1/2022,8.58
ladies fingers,sarawak,8/1/2022,8.83
ladies fingers,sarawak,9/1/2022,8.96
tomatoes,sarawak,1/1/2022,8.3
tomatoes,sarawak,2/1/2022,8.83
tomatoes,sarawak,3/1/2022,8.77
tomatoes,sarawak,4/1/2022,8.46
tomatoes,sarawak,5/1/2022,8.67
tomatoes,sarawak,6/1/2022,8.89
tomatoes,sarawak,7/1/2022,9.14
tomatoes,sarawak,8/1/2022,8.82
tomatoes,sarawak,9/1/2022,8.91
apple fuji,sarawak,1/1/2022,2.07
apple fuji,sarawak,2/1/2022,2.1
apple fuji,sarawak,3/1/2022,2.17
apple fuji,sarawak,4/1/2022,2.19
apple fuji,sarawak,5/1/2022,2.19
apple fuji,sarawak,6/1/2022,2.31
apple fuji,sarawak,7/1/2022,2.28
apple fuji,sarawak,8/1/2022,2.24
apple fuji,sarawak,9/1/2022,2.32
pineapple,sarawak,1/1/2022,4.53
pineapple,sarawak,2/1/2022,4.67
pineapple,sarawak,3/1/2022,4.62
pineapple,sarawak,4/1/2022,4.67
pineapple,sarawak,5/1/2022,4.64
pineapple,sarawak,6/1/2022,4.82
pineapple,sarawak,7/1/2022,4.98
pineapple,sarawak,8/1/2022,4.96
pineapple,sarawak,9/1/2022,5.02
chicken,sarawak,1/1/2022,10.49
chicken,sarawak,2/1/2022,10.56
chicken,sarawak,3/1/2022,10.52
chicken,sarawak,4/1/2022,10.62
chicken,sarawak,5/1/2022,10.65
chicken,sarawak,6/1/2022,10.8
chicken,sarawak,7/1/2022,11.1
chicken,sarawak,8/1/2022,11.54
chicken,sarawak,9/1/2022,11.59
beef,sarawak,1/1/2022,41.3
beef,sarawak,2/1/2022,50.45
beef,sarawak,3/1/2022,47.7
beef,sarawak,4/1/2022,47.7
beef,sarawak,5/1/2022,47.7
beef,sarawak,6/1/2022,53.63
beef,sarawak,7/1/2022,54.47
beef,sarawak,8/1/2022,55
beef,sarawak,9/1/2022,61.67
siakap fish,sarawak,1/1/2022,20.13
siakap fish,sarawak,2/1/2022,21.35
siakap fish,sarawak,3/1/2022,22.14
siakap fish,sarawak,4/1/2022,21.62
siakap fish,sarawak,5/1/2022,22.22
siakap fish,sarawak,6/1/2022,22.71
siakap fish,sarawak,7/1/2022,22.36
siakap fish,sarawak,8/1/2022,23.66
siakap fish,sarawak,9/1/2022,23.62
prawn,malaysia,1/1/2022,33.51
prawn,malaysia,2/1/2022,34.06
prawn,malaysia,3/1/2022,34.37
prawn,malaysia,4/1/2022,34.29
prawn,malaysia,5/1/2022,34.34
prawn,malaysia,6/1/2022,34.32
prawn,malaysia,7/1/2022,34.18
prawn,malaysia,8/1/2022,34.2
prawn,malaysia,9/1/2022,34.02
cuttlefish,malaysia,1/1/2022,30.94
cuttlefish,malaysia,2/1/2022,30.03
cuttlefish,malaysia,3/1/2022,30.35
cuttlefish,malaysia,4/1/2022,30.41
cuttlefish,malaysia,5/1/2022,29.96
cuttlefish,malaysia,6/1/2022,30.3
cuttlefish,malaysia,7/1/2022,30.94
cuttlefish,malaysia,8/1/2022,31.3
cuttlefish,malaysia,9/1/2022,30.85
crab,malaysia,1/1/2022,30.83
crab,malaysia,2/1/2022,30.54
crab,malaysia,3/1/2022,30.56
crab,malaysia,4/1/2022,31.71
crab,malaysia,5/1/2022,32.87
crab,malaysia,6/1/2022,33.9
crab,malaysia,7/1/2022,33.8
crab,malaysia,8/1/2022,33.31
crab,malaysia,9/1/2022,33.01
prawn,selangor,1/1/2022,34.99
prawn,selangor,2/1/2022,35.88
prawn,selangor,3/1/2022,36.18
prawn,selangor,4/1/2022,35.71
prawn,selangor,5/1/2022,35.05
prawn,selangor,6/1/2022,35.96
prawn,selangor,7/1/2022,36.18
prawn,selangor,8/1/2022,35.99
prawn,selangor,9/1/2022,35.99
cuttlefish,selangor,1/1/2022,37.62
cuttlefish,selangor,2/1/2022,37.68
cuttlefish,selangor,3/1/2022,36.7
cuttlefish,selangor,4/1/2022,37.12
cuttlefish,selangor,5/1/2022,35.87
cuttlefish,selangor,6/1/2022,35.8
cuttlefish,selangor,7/1/2022,35.77
cuttlefish,selangor,8/1/2022,37.59
cuttlefish,selangor,9/1/2022,36.38
crab,selangor,1/1/2022,37.34
crab,selangor,2/1/2022,36
crab,selangor,3/1/2022,34.18
crab,selangor,4/1/2022,39.05
crab,selangor,5/1/2022,40.38
crab,selangor,6/1/2022,40.38
crab,selangor,7/1/2022,42.1
crab,selangor,8/1/2022,40.14
crab,selangor,9/1/2022,38.94
prawn,johor,1/1/2022,34.82
prawn,johor,2/1/2022,35.26
prawn,johor,3/1/2022,35.13
prawn,johor,4/1/2022,34.88
prawn,johor,5/1/2022,35.12
prawn,johor,6/1/2022,35.96
prawn,johor,7/1/2022,35.17
prawn,johor,8/1/2022,34.52
prawn,johor,9/1/2022,34.34
cuttlefish,johor,1/1/2022,32.05
cuttlefish,johor,2/1/2022,32.06
cuttlefish,johor,3/1/2022,31.77
cuttlefish,johor,4/1/2022,31.51
cuttlefish,johor,5/1/2022,32.71
cuttlefish,johor,6/1/2022,34.16
cuttlefish,johor,7/1/2022,32.91
cuttlefish,johor,8/1/2022,32.35
cuttlefish,johor,9/1/2022,32.8
crab,johor,1/1/2022,30.65
crab,johor,2/1/2022,30.69
crab,johor,3/1/2022,29.71
crab,johor,4/1/2022,29.46
crab,johor,5/1/2022,31.67
crab,johor,6/1/2022,36.15
crab,johor,7/1/2022,33.33
crab,johor,8/1/2022,33.2
crab,johor,9/1/2022,32.29
prawn,sabah,1/1/2022,28.07
prawn,sabah,2/1/2022,28.93
prawn,sabah,3/1/2022,29.14
prawn,sabah,4/1/2022,30.45
prawn,sabah,5/1/2022,31.26
prawn,sabah,6/1/2022,29.83
prawn,sabah,7/1/2022,30.51
prawn,sabah,8/1/2022,31.51
prawn,sabah,9/1/2022,31.29
cuttlefish,sabah,1/1/2022,14.96
cuttlefish,sabah,2/1/2022,13.67
cuttlefish,sabah,3/1/2022,15.43
cuttlefish,sabah,4/1/2022,15.77
cuttlefish,sabah,5/1/2022,16.86
cuttlefish,sabah,6/1/2022,17.18
cuttlefish,sabah,7/1/2022,18.84
cuttlefish,sabah,8/1/2022,18.48
cuttlefish,sabah,9/1/2022,18.5
crab,sabah,1/1/2022,17.89
crab,sabah,2/1/2022,17.68
crab,sabah,3/1/2022,15.92
crab,sabah,4/1/2022,16.04
crab,sabah,5/1/2022,18.05
crab,sabah,6/1/2022,18.97
crab,sabah,7/1/2022,18.84
crab,sabah,8/1/2022,17.56
crab,sabah,9/1/2022,17.94
prawn,perak,1/1/2022,31.09
prawn,perak,2/1/2022,31.89
prawn,perak,3/1/2022,32.23
prawn,perak,4/1/2022,32.16
prawn,perak,5/1/2022,31.99
prawn,perak,6/1/2022,31.43
prawn,perak,7/1/2022,31.49
prawn,perak,8/1/2022,31.65
prawn,perak,9/1/2022,31.63
cuttlefish,perak,1/1/2022,32.44
cuttlefish,perak,2/1/2022,31.36
cuttlefish,perak,3/1/2022,31.74
cuttlefish,perak,4/1/2022,32.79
cuttlefish,perak,5/1/2022,32.04
cuttlefish,perak,6/1/2022,31.52
cuttlefish,perak,7/1/2022,31.79
cuttlefish,perak,8/1/2022,32.19
cuttlefish,perak,9/1/2022,32.26
crab,perak,1/1/2022,29.13
crab,perak,2/1/2022,29.39
crab,perak,3/1/2022,29.64
crab,perak,4/1/2022,31.15
crab,perak,5/1/2022,32.14
crab,perak,6/1/2022,32.39
crab,perak,7/1/2022,32.31
crab,perak,8/1/2022,33.13
crab,perak,9/1/2022,34.01
prawn,sarawak,1/1/2022,32.66
prawn,sarawak,2/1/2022,33.28
prawn,sarawak,3/1/2022,33.22
prawn,sarawak,4/1/2022,33.42
prawn,sarawak,5/1/2022,36.1
prawn,sarawak,6/1/2022,36.71
prawn,sarawak,7/1/2022,37.67
prawn,sarawak,8/1/2022,38.53
prawn,sarawak,9/1/2022,37.87
cuttlefish,sarawak,1/1/2022,19.4
cuttlefish,sarawak,2/1/2022,21.89
cuttlefish,sarawak,3/1/2022,21.22
cuttlefish,sarawak,4/1/2022,21.04
cuttlefish,sarawak,5/1/2022,21.31
cuttlefish,sarawak,6/1/2022,23.12
cuttlefish,sarawak,7/1/2022,22.58
cuttlefish,sarawak,8/1/2022,22.11
cuttlefish,sarawak,9/1/2022,22.02
crab,sarawak,1/1/2022,25.23
crab,sarawak,2/1/2022,24.75
crab,sarawak,3/1/2022,24.21
crab,sarawak,4/1/2022,24.72
crab,sarawak,5/1/2022,25.21
crab,sarawak,6/1/2022,24.94
crab,sarawak,7/1/2022,25.06
crab,sarawak,8/1/2022,24.36
crab,sarawak,9/1/2022,22.47
red chilli (kulai),malaysia,1/1/2022,17.32
red chilli (kulai),malaysia,2/1/2022,18.88
red chilli (kulai),malaysia,3/1/2022,18.65
red chilli (kulai),malaysia,4/1/2022,18.67
red chilli (kulai),malaysia,5/1/2022,18.18
red chilli (kulai),malaysia,6/1/2022,18.35
red chilli (kulai),malaysia,7/1/2022,19.3
red chilli (kulai),malaysia,8/1/2022,19.04
red chilli (kulai),malaysia,9/1/2022,19.48
long beans,malaysia,1/1/2022,6.87
long beans,malaysia,2/1/2022,7.77
long beans,malaysia,3/1/2022,7.53
long beans,malaysia,4/1/2022,7.58
long beans,malaysia,5/1/2022,8.32
long beans,malaysia,6/1/2022,8.43
long beans,malaysia,7/1/2022,8.39
long beans,malaysia,8/1/2022,7.74
long beans,malaysia,9/1/2022,7.89
french bean,malaysia,1/1/2022,12.56
french bean,malaysia,2/1/2022,11.7
french bean,malaysia,3/1/2022,12.29
french bean,malaysia,4/1/2022,11.78
french bean,malaysia,5/1/2022,12.68
french bean,malaysia,6/1/2022,12.41
french bean,malaysia,7/1/2022,12.05
french bean,malaysia,8/1/2022,11.54
french bean,malaysia,9/1/2022,11.2
round cabbage,malaysia,1/1/2022,5.7
round cabbage,malaysia,2/1/2022,5.35
round cabbage,malaysia,3/1/2022,4.76
round cabbage,malaysia,4/1/2022,4.56
round cabbage,malaysia,5/1/2022,5.05
round cabbage,malaysia,6/1/2022,5.13
round cabbage,malaysia,7/1/2022,5.27
round cabbage,malaysia,8/1/2022,5.04
round cabbage,malaysia,9/1/2022,4.98
cauliflower,malaysia,1/1/2022,11.65
cauliflower,malaysia,2/1/2022,10.18
cauliflower,malaysia,3/1/2022,9.94
cauliflower,malaysia,4/1/2022,9.75
cauliflower,malaysia,5/1/2022,10.27
cauliflower,malaysia,6/1/2022,10.13
cauliflower,malaysia,7/1/2022,10.37
cauliflower,malaysia,8/1/2022,10.88
cauliflower,malaysia,9/1/2022,12.12
carrot,malaysia,1/1/2022,5.68
carrot,malaysia,2/1/2022,5.33
carrot,malaysia,3/1/2022,5.06
carrot,malaysia,4/1/2022,5.04
carrot,malaysia,5/1/2022,5.17
carrot,malaysia,6/1/2022,5.37
carrot,malaysia,7/1/2022,5.18
carrot,malaysia,8/1/2022,5.06
carrot,malaysia,9/1/2022,5.03
cucumber,malaysia,1/1/2022,3.91
cucumber,malaysia,2/1/2022,3.82
cucumber,malaysia,3/1/2022,3.79
cucumber,malaysia,4/1/2022,3.97
cucumber,malaysia,5/1/2022,4.43
cucumber,malaysia,6/1/2022,4.53
cucumber,malaysia,7/1/2022,4.81
cucumber,malaysia,8/1/2022,4.6
cucumber,malaysia,9/1/2022,4.14
green apple,malaysia,1/1/2022,1.21
green apple,malaysia,2/1/2022,1.22
